Wavelength (nm),Dual-Gs,Dual-Rho
855.529,0.000145082,-1.15E-03
856.273,0.000226785,-1.26E-03
857.017,0.000250758,-1.26E-03
857.76,0.000211964,-1.64E-03
858.504,0.000122464,-1.49E-03
859.248,7.46788E-05,-1.05E-03
859.992,4.10E-05,-5.09E-05
860.735,1.14E-05,5.02E-04
861.479,9.14816E-05,8.85E-04
862.222,0.000204915,4.28E-04
862.965,0.000266204,1.65E-04
863.708,0.000255382,2.03E-04
864.452,0.000169908,2.58E-04
865.195,0.0001725,6.08E-04
865.938,0.000180867,3.05E-04
866.68,0.000111103,3.20E-04
867.423,0.000180079,-2.03E-04
868.166,0.000221334,-2.70E-04
868.908,0.000272525,-2.11E-04
869.651,0.000253959,-7.48E-05
870.394,0.000201707,-2.05E-04
871.136,0.00020222,-6.39E-04
871.878,0.000175601,-1.18E-03
872.62,0.000130814,-1.80E-03
873.363,0.000128846,-2.22E-03
874.105,0.000121978,-2.55E-03
874.847,0.000152018,-2.47E-03
875.588,0.000179343,-2.27E-03
876.33,0.000196986,-1.35E-03
877.072,0.000176495,-7.78E-04
877.814,0.000170049,-4.27E-04
878.555,0.000199973,-6.47E-04
879.297,0.000212237,-1.01E-03
880.038,0.000213021,-9.74E-04
880.779,0.000243427,-7.53E-04
881.52,0.000260673,-4.96E-04
882.262,0.000229309,-5.26E-04
883.003,0.000179866,-6.75E-04
883.744,0.000170127,-7.96E-04
884.485,0.000181243,-7.86E-04
885.225,0.000222352,-8.99E-04
885.966,0.000203433,-5.91E-04
886.707,0.000233328,-2.17E-04
887.447,0.000235439,2.81E-04
888.188,0.000209315,8.08E-04
888.928,0.000205143,9.01E-04
889.668,0.000192053,5.58E-04
890.409,0.00017374,-3.75E-05
891.149,0.000118608,-5.95E-04
891.889,7.76286E-05,-5.85E-04
892.629,6.34E-05,-4.31E-04
893.369,3.69E-05,3.62E-04
894.108,5.40E-05,8.99E-04
894.848,0.000104168,8.06E-04
895.588,0.000141541,6.74E-04
896.327,0.000162621,2.48E-05
897.067,0.000157611,-3.35E-04
897.806,0.000146916,-5.83E-04
898.546,0.000102155,-4.76E-04
899.285,0.000093723,-1.49E-04
900.024,0.000124209,-4.22E-04
900.763,0.000100577,-9.32E-04
901.502,7.73941E-05,-2.05E-03
902.241,8.31712E-05,-3.08E-03
902.98,0.0001037,-2.95E-03
903.718,7.80563E-05,-2.08E-03
904.457,9.82667E-05,-4.07E-04
905.196,0.00018646,7.36E-04
905.934,0.000204341,9.14E-04
906.672,0.0001678,5.54E-04
907.411,0.000176436,-2.13E-04
908.149,0.000198149,-1.33E-05
908.887,0.000200698,6.28E-04
909.625,0.000155248,1.15E-03
910.363,0.000153118,1.13E-03
911.101,0.00014719,7.80E-05
911.839,0.000105077,-1.06E-03
912.577,7.46025E-05,-2.17E-03
913.314,8.11734E-05,-2.56E-03
914.052,4.26E-05,-2.35E-03
914.789,3.54E-05,-1.96E-03
915.527,2.86E-06,-1.18E-03
916.264,2.14E-05,-7.74E-04
917.001,3.72E-05,-1.84E-04
917.738,0.000108408,-2.01E-04
918.475,0.000181417,-4.10E-04
919.212,0.000189816,-6.10E-04
919.949,0.000149993,-1.10E-03
920.686,0.000133903,-1.46E-03
921.423,0.000100779,-1.80E-03
922.16,6.82E-05,-1.95E-03
922.896,-1.08E-05,-1.40E-03
923.633,-3.59E-05,-5.95E-04
924.369,-3.22E-05,3.10E-04
925.105,-4.58E-05,9.79E-04
925.841,-3.26E-05,9.66E-04
926.578,-5.07E-05,1.13E-03
927.314,5.94E-06,1.09E-03
928.05,1.03E-05,9.67E-04
928.786,4.09E-05,3.57E-04
929.521,8.70765E-05,-6.61E-04
930.257,0.00012728,-1.29E-03
930.993,0.000122235,-1.54E-03
931.728,0.000157435,-1.18E-03
932.464,0.000145501,-7.76E-04
933.199,0.000156601,-7.66E-04
933.934,0.000168594,-1.32E-03
934.67,0.000219655,-2.09E-03
935.405,0.00022888,-2.57E-03
936.14,0.000222466,-2.26E-03
936.875,0.000137885,-1.37E-03
937.61,0.000123418,3.38E-05
938.345,0.000128176,8.40E-04
939.079,0.000100682,1.16E-03
939.814,8.93459E-05,1.08E-03
940.548,6.33E-05,6.76E-04
941.283,8.16641E-05,3.95E-04
942.017,0.000106089,3.00E-06
942.752,0.00012183,2.24E-04
943.486,0.000136802,5.27E-04
944.22,0.000165033,8.11E-04
944.954,0.000160467,4.78E-04
945.688,8.67895E-05,-4.72E-04
946.422,4.70E-05,-1.52E-03
947.156,3.69E-05,-2.24E-03
947.889,1.19E-05,-2.45E-03
948.623,3.44E-05,-2.84E-03
949.357,7.71848E-05,-3.02E-03
950.09,0.000148441,-3.02E-03
950.823,0.000157462,-2.36E-03
951.557,0.000155636,-1.43E-03
952.29,0.000157256,-1.21E-03
953.023,0.000158519,-9.00E-04
953.756,0.000107257,-1.53E-03
954.489,4.63E-05,-1.73E-03
955.222,5.92E-05,-1.83E-03
955.955,0.000105404,-1.60E-03
956.687,9.17175E-05,-5.82E-04
957.42,6.29E-05,-1.04E-04
958.153,1.99E-05,6.97E-04
958.885,-9.97E-06,5.00E-04
959.617,-4.72E-05,2.58E-05
960.35,-7.23163E-05,-1.37E-04
961.082,-0.000112508,-1.13E-04
961.814,-5.59E-05,3.69E-04
962.546,-1.72E-05,7.43E-04
963.278,-4.58E-05,4.90E-04
964.01,-8.81E-06,-5.82E-04
964.742,9.20E-06,-2.17E-03
965.473,8.14408E-05,-3.14E-03
966.205,0.000137855,-2.94E-03
966.937,9.16412E-05,-2.23E-03
967.668,8.39797E-05,-1.48E-03
