Wavelength,Dual-GCaMP6f,Dual-tdTomato
684.593,0.003156291,0.113656708
685.349,0.003515191,0.111180498
686.106,0.002881415,0.108465051
686.862,0.003345176,0.106347171
687.619,0.002821463,0.104572385
688.375,0.002793837,0.103301983
689.131,0.00303718,0.100936202
689.887,0.002150013,0.09857498
690.643,0.002762176,0.096992787
691.399,0.002403502,0.094718449
692.155,0.002319802,0.092796301
692.911,0.003480974,0.090667856
693.667,0.002182183,0.088563777
694.423,0.002627426,0.086818576
695.178,0.001858068,0.084369697
695.934,0.002791947,0.082976981
696.689,0.002483931,0.081939685
697.445,0.002298454,0.080262037
698.2,0.002451762,0.077088828
698.955,0.001878603,0.0755657
699.71,0.001779637,0.074789247
700.465,0.00129767,0.073444037
701.22,0.002069594,0.070951929
701.975,0.001254395,0.069486483
702.73,0.002168874,0.068966175
703.485,0.001254836,0.068083151
704.24,0.002323906,0.067245069
704.994,0.002165574,0.066690286
705.749,0.001767337,0.06697208
706.503,0.002368845,0.068052528
707.257,0.001974936,0.067306462
708.012,0.001353861,0.064825204
708.766,0.001455717,0.058100813
709.52,0.001177462,0.048536701
710.274,0.001090932,0.036077057
711.028,0.000928791,0.024474663
711.782,0.001192602,0.015208322
712.536,0.000642585,0.010003255
713.29,0.001396637,0.00676077
714.043,0.001271004,0.004969826
714.797,0.000425133,0.003774184
715.55,0.000727636,0.003059232
716.304,0.000477388,0.00253597
717.057,-0.000180517,0.001828128
717.81,0.000469672,0.001131766
718.564,0.000454894,0.000529765
719.317,0.000488004,0.000258447
720.07,-7.79E-05,0.000108672
720.823,-0.000129594,5.54E-05
721.576,-0.000163125,2.61E-05
722.329,1.77E-04,1.47E-05
723.081,-9.41E-05,7.74E-06
723.834,0.000257567,4.63E-06
724.586,3.71E-04,2.67E-06
725.339,-1.21E-05,1.76E-06
726.091,-0.000142727,1.11E-06
726.844,0.000349346,7.67E-07
727.596,0.000101332,5.36E-07
728.348,-2.03E-05,4.22E-07
729.1,0.000216427,3.24E-07
729.852,9.28E-05,2.45E-07
730.604,0.000209778,1.91E-07
731.356,-0.000648764,1.59E-07
732.108,8.16E-05,1.36E-07
732.86,3.29E-04,1.18E-07
733.611,-4.29E-05,9.91E-08
734.363,-0.000284959,9.47E-08
735.114,0.000205538,8.86E-08
735.866,-0.000289493,8.77E-08
736.617,0.000202277,8.84E-08
737.368,0.000210973,9.61E-08
738.12,2.06E-04,9.67E-08
738.871,-4.61E-05,9.92E-08
739.622,0.000321858,1.08E-07
740.373,0.000321153,1.27E-07
741.124,0.000441791,1.57E-07
741.874,-0.000173574,1.92E-07
742.625,4.45E-04,2.34E-07
743.376,0.0003194,3.37E-07
744.126,0.000321544,5.19E-07
744.877,0.000198585,8.92E-07
745.627,-0.00053925,1.64E-06
746.378,7.09E-05,4.03E-06
747.128,-5.13E-05,1.61E-05
747.878,0.000323748,1.65E-04
748.628,-0.000173457,0.000426735
749.378,7.49E-05,0.00021271
750.128,-4.71E-05,4.96E-05
750.878,0.000196695,2.78E-05
751.628,-1.75E-04,2.49E-05
752.377,7.21E-05,2.59E-05
753.127,7.50E-05,3.51E-05
753.876,3.16E-04,6.16E-05
754.626,7.21E-05,0.00012555
755.375,0.00031326,0.000369628
756.125,7.23E-05,0.001180812
756.874,3.19E-04,0.003247326
757.623,0.000200338,0.004819666
758.372,-3.93E-05,0.006165995
759.121,-1.51E-04,0.008478803
759.87,0.000367287,0.005484032
760.619,0.000393013,0.00124547
761.368,4.05E-05,0.000213105
762.116,0.000303565,5.32E-05
762.865,4.26E-04,1.36E-05
763.613,1.82E-04,4.67E-06
764.362,2.94E-04,1.65E-06
765.11,3.92E-04,8.90E-07
765.858,0.000363399,4.46E-07
766.607,0.000231391,2.32E-07
767.355,-3.84E-05,1.20E-07
768.103,-5.24E-05,7.69E-08
768.851,6.62E-05,4.69E-08
769.599,6.07E-05,2.84E-08
770.346,0.000430637,1.31E-08
771.094,-5.65E-05,6.87E-09
771.842,-6.42E-05,3.89E-09
772.589,0.000553156,1.90E-09
773.337,-0.000185463,-2.60E-09
774.084,0.000177677,-5.83E-09
774.832,0.000548867,-6.64E-09
775.579,-6.73E-05,-6.23E-09
776.326,5.60E-05,-3.72E-09
777.073,-6.75E-05,-1.78E-09
777.82,0.000174661,4.79E-10
778.567,-1.90E-04,4.47E-09
779.314,-0.000307737,7.12E-09
780.061,5.49E-04,1.22E-08
780.808,0.0001761,1.65E-08
781.554,0.000420521,1.98E-08
782.301,-0.000197439,2.13E-08
783.047,-6.85E-05,4.62E-09
783.794,0.000427924,-1.62E-08
784.54,0.00017565,-1.90E-08
785.286,5.09E-05,2.73E-08
786.032,0.000169402,5.17E-08
786.778,-6.92E-05,1.04E-07
787.524,1.72E-04,2.96E-07
788.27,-0.000438589,1.17E-06
789.016,-3.17E-04,1.92E-06
789.762,2.96E-04,1.55E-06
790.508,2.98E-04,5.21E-07
791.253,4.22E-04,3.98E-07
791.999,0.000304661,2.32E-07
792.744,-7.37E-05,1.28E-07
793.49,-7.31E-05,7.64E-08
794.235,-1.98E-04,7.21E-08
794.98,0.000182123,6.15E-08
795.725,5.37E-05,5.71E-08
796.47,-0.000193777,6.48E-08
797.215,0.000174122,6.19E-08
797.96,-0.000197253,5.98E-08
798.705,1.75E-04,5.84E-08
799.45,5.01E-05,6.12E-08
800.194,0.000421207,3.31E-08
800.939,2.96E-04,-6.79E-08
801.683,0.000174171,-3.39E-07
802.428,0.000543128,-4.58E-07
803.172,-6.82E-05,-7.61E-07
803.916,0.000291226,-1.46E-06
804.661,1.81E-04,-3.06E-06
805.405,-7.17E-05,-3.01E-06
806.149,1.70E-04,-7.22E-06
806.893,2.95E-04,-2.20E-05
807.637,-7.15E-05,-4.93E-05
808.38,0.000414068,-2.09E-05
809.124,-0.000190477,4.70E-05
809.868,-0.000195442,4.42E-05
810.611,-7.14E-05,2.57E-05
811.355,0.000421236,5.49E-05
812.098,4.93E-05,2.67E-05
812.841,0.000417515,-1.18E-05
813.585,3.03E-04,-2.63E-05
814.328,-0.000191201,2.45E-06
815.071,-0.000199565,1.16E-05
815.814,5.49E-04,2.87E-05
816.557,5.20E-05,7.68E-05
817.3,-1.95E-04,7.81E-05
818.042,0.000171899,0.000147741
818.785,4.54E-05,0.000166005
819.528,4.96E-05,0.000116716
820.27,4.84E-05,8.24E-05
821.013,-4.44E-04,4.75E-05
821.755,2.93E-04,2.41E-05
822.497,-1.98E-04,1.36E-05
823.239,-3.22E-04,6.51E-06
823.982,-2.01E-04,3.84E-06
824.724,2.93E-04,2.69E-06
825.466,-7.14E-05,2.49E-06
826.207,4.93E-05,1.98E-06
826.949,4.44E-05,2.27E-06
827.691,4.58E-05,2.93E-06
828.433,4.30E-05,3.04E-06
829.174,5.39E-04,2.70E-06
829.916,4.89E-05,1.28E-06
830.657,3.92E-05,-2.40E-06
831.398,4.17E-05,-3.06E-06
832.14,-2.03E-04,-6.30E-05
832.881,1.74E-04,-2.63E-04
833.622,-2.03E-04,-0.000523193
834.363,0.000294232,-0.000824307
835.104,4.18E-05,-0.000710904
835.845,0.000283998,-0.000477089
836.585,-0.000444994,-0.000290034
837.326,-0.000196607,-1.62E-04
838.067,0.000169236,-0.000108163
838.807,4.42E-05,-6.79E-05
839.548,0.000171664,-2.99E-05
840.288,0.000165837,-1.97E-05
841.028,-1.98E-04,-9.69E-06
841.768,-8.31E-05,-4.70E-06
842.509,4.47E-05,-4.94E-06
843.249,0.000660182,-4.39E-06
843.989,2.95E-04,1.49E-06
844.729,4.15E-05,9.99E-06
845.468,-8.32E-05,1.87E-05
846.208,-2.07E-04,1.49E-05
846.948,0.000167385,1.54E-05
847.687,-0.000195021,1.73E-05
848.427,-4.50E-04,1.73E-05
849.166,0.000289179,8.94E-06
